t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,-24.31899919526117
1,0.06480648064806481,1.634159417224148,0.8330227743990612,709.7343723047256,163415.9417224148,83302.27743990613,70973.43723047257,0.0005555555555555556,-0.5555555555555556,-24.31899919526117
2,0.12961296129612962,0.9723745227836451,0.6800730490332514,564.9389214384505,97237.45227836451,68007.30490332514,56493.89214384505,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
3,0.19441944194419442,0.31754167142752104,0.6305077966912087,245.71490838780576,31754.167142752103,63050.77966912087,24571.490838780577,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
4,0.25922592259225924,-0.33031527885715406,0.6735400610385072,-74.11496061942626,-33031.527885715404,67354.00610385071,-7411.496061942626,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
5,0.324032403240324,-0.9711596627045259,0.8217538616531677,-391.59993215512117,-97115.9662704526,82175.38616531677,-39159.99321551211,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
6,0.38883888388838883,-1.604952202630194,1.1108227385370735,-707.586878473453,-160495.22026301938,111082.27385370735,-70758.6878473453,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
7,0.4536453645364536,-2.2316469104420147,1.5926124513001079,-1021.7544786520358,-223164.69104420146,159261.2451300108,-102175.44786520358,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
8,0.5184518451845185,-2.85118965210938,2.3212327021896177,-1333.2320699749812,-285118.965210938,232123.27021896178,-133323.2069974981,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
9,0.5832583258325832,-3.4635196300010285,3.3406724965517136,-1641.3395321548612,-346351.96300010284,334067.24965517136,-164133.9532154861,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
10,0.648064806480648,-4.068572107921883,4.682070142994096,-1945.7479454390345,-406857.21079218824,468207.0142994096,-194574.79454390347,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
11,0.7128712871287128,-4.666280650104376,6.367907788477033,-2246.344266660111,-466628.0650104376,636790.7788477032,-224634.42666601107,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
12,0.7776777677767777,-5.256578311305394,8.416922917677061,-2543.1001685101405,-525657.8311305394,841692.291767706,-254310.01685101405,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
13,0.8424842484248425,-5.83939802545873,10.847215049845879,-2836.0090666919705,-583939.802545873,1084721.504984588,-283600.906669197,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
14,0.9072907290729072,-6.414672563352538,13.677760204193827,-3125.0640967624417,-641467.2563352538,1367776.0204193827,-312506.4096762442,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
15,0.972097209720972,-6.982334298743902,16.929052546396314,-3410.2531246509757,-698233.4298743902,1692905.2546396314,-341025.3124650976,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
16,1.036903690369037,-7.542314898923638,20.62335548308588,-3691.558335561147,-754231.4898923638,2062335.548308588,-369155.8335561147,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
17,1.1017101710171016,-8.094544988544689,24.78480050212506,-3968.957172843272,-809454.4988544689,2478480.0502125057,-396895.7172843272,-0.0005555555555555556,0.5555555555555556,-331150754.66230625
18,1.1665166516651664,-7.350762301625856,29.20998087967256,-3772.303132309473,-735076.2301625856,2920998.087967256,-377230.3132309473,0.0005555555555555556,-0.5555555555555556,-345795587.4851106
19,1.2313231323132312,-6.615264161808674,33.67726806925673,-3408.5115042094594,-661526.4161808674,3367726.8069256735,-340851.15042094595,0.0005555555555555556,-0.5555555555555556,-282316205.91709185
20,1.296129612961296,-7.176262380240582,38.41804339933825,-3514.6216274455937,-717626.2380240582,3841804.339933825,-351462.16274455935,-0.0005555555555555556,-0.5555555555555556,-282316205.91709185
