t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,-24.31899919526117
1,0.06480648064806481,0.36078691961135473,0.9420359758111697,250.1004612306708,36078.691961135475,94203.59758111698,25010.046123067077,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
2,0.12961296129612962,-0.2716215015377443,0.9967530241516811,-48.366253133171284,-27162.15015377443,99675.30241516812,-4836.6253133171285,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
3,0.19441944194419442,-0.8952828550343037,1.1761088072425088,-358.3559889072924,-89528.28550343036,117610.88072425088,-35835.59889072924,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
4,0.25922592259225924,-1.5078937498457703,1.5100505231852774,-664.7371301183654,-150789.37498457704,151005.05231852774,-66473.71301183653,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
5,0.324032403240324,-2.10657466737057,2.039326823411753,-965.6821748542236,-210657.466737057,203932.6823411753,-96568.21748542236,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
6,0.38883888388838883,-2.687787190149214,2.8046600086245284,-1259.0753731743687,-268778.7190149214,280466.00086245284,-125907.53731743687,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
7,0.4536453645364536,-3.2474206573608355,3.8384780563548775,-1542.5417856500014,-324742.06573608355,383847.8056354878,-154254.17856500015,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
8,0.5184518451845185,-3.7809648040071666,5.1628584946850875,-1813.6495364008022,-378096.48040071665,516285.84946850874,-181364.9536400802,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
9,0.5832583258325832,-4.2836745042229,6.791662126551305,-2069.95932614323,-428367.45042229,679166.2126551305,-206995.932614323,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
10,0.648064806480648,-4.750686835117638,8.733415971695313,-2309.0268010042973,-475068.6835117638,873341.5971695314,-230902.68010042974,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
11,0.7128712871287128,-5.17709461661636,10.993349077195687,-2528.4037875556814,-517709.461661636,1099334.9077195686,-252840.37875556815,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
12,0.7776777677767777,-5.557993013337547,13.57448297544224,-2725.6460448926596,-555799.3013337547,1357448.297544224,-272564.60448926594,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
13,0.8424842484248425,-5.888512544008236,16.478108740433242,-2898.3238493260073,-588851.2544008236,1647810.8740433243,-289832.3849326007,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
14,0.9072907290729072,-6.163846237742141,19.703939561796403,-3044.0338137412723,-616384.6237742141,1970393.9561796403,-304403.38137412723,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
15,0.972097209720972,-6.379274776372663,23.250109984691814,-3160.411161079691,-637927.4776372663,2325010.9984691814,-316041.1161079691,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
16,1.036903690369037,-6.530191328505776,27.11310954454377,-3245.142464347928,-653019.1328505776,2711310.9544543773,-324514.2464347928,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
17,1.1017101710171016,-6.6121267323621735,31.287692791927498,-3295.9777910364255,-661212.6732362173,3128769.27919275,-329597.77910364256,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
18,1.1665166516651664,-6.620775203101922,35.76678504974532,-3310.7447134118966,-662077.5203101923,3576678.5049745324,-331074.47134118964,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
19,1.2313231323132312,-6.552020529957423,40.54139255867161,-3287.3610032662314,-655202.0529957423,4054139.255867161,-328736.1003266231,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
20,1.296129612961296,-6.401962650909365,45.60052077522609,-3223.8481880891427,-640196.2650909364,4560052.077522608,-322384.8188089143,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
21,1.3609360936093609,-6.166944470612317,50.93110241536231,-3118.345075150642,-616694.4470612317,5093110.241536231,-311834.5075150642,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
22,1.4257425742574257,-5.843578792960933,56.51793591840797,-2969.1213087309284,-584357.8792960934,5651793.591840797,-296912.13087309286,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
23,1.4905490549054905,-5.428775255700391,62.34363465657226,-2774.590669663804,-542877.5255700392,6234363.465657227,-277459.0669663804,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
24,1.5553555355535553,-4.919767174904101,68.38858711417934,-2533.3257100350256,-491976.71749041014,6838858.711417935,-253332.57100350255,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
25,1.6201620162016201,-4.31413822519647,74.63092827121106,-2244.069420488939,-431413.822519647,7463092.827121106,-224406.94204889392,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
26,1.684968496849685,-3.6098489034017485,81.0465224640435,-1905.749600917371,-360984.89034017484,8104652.246404351,-190574.9600917371,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
27,1.7497749774977498,-2.805262735844962,87.60895805562473,-1517.4918730705253,-280526.27358449623,8760895.805562472,-151749.18730705255,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
28,1.8145814581458144,-1.8991722041734478,94.28955429651629,-1078.6320787331674,-189917.22041734477,9428955.42965163,-107863.20787331674,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
29,1.8793879387938792,-0.8908243731346535,101.05738080880919,-588.7310247823785,-89082.43731346534,10105738.080880918,-58873.10247823785,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
30,1.944194419441944,0.22005379163003352,107.87929014838993,-47.58500204644989,22005.379163003352,10787929.014838994,-4758.500204644989,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
31,2.009000900090009,1.4332304258744457,114.7199639437861,544.7605952121445,143323.04258744456,11471996.39437861,54476.05952121445,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
32,2.073807380738074,2.7479441042062653,121.54197311658086,1187.9989964794895,274794.4104206265,12154197.311658086,118799.89964794894,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
33,2.1386138613861387,4.162879535217529,128.30585270043886,1881.5499259663518,416287.9535217529,12830585.270043885,188154.9925966352,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
34,2.203420342034203,5.676143650008947,134.97019177513067,2624.547548147162,567614.3650008946,13497019.177513067,262454.75481471623,-0.0005555555555555556,-0.5555555555555556,-129843.60401423323
