t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,-24.31899919526117
1,0.06480648064806481,0.3472053445553563,0.9432492696280299,245.16842668461103,34720.53445553563,94324.92696280299,24516.842668461104,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
2,0.12961296129612962,-0.29860811336731985,1.0017361714769832,-59.510856403688294,-29860.811336731986,100173.61714769833,-5951.085640368829,-0.0005555555555555556,0.5555555555555556,-15808.602494535768
3,0.19441944194419442,-0.9371414216653692,1.1884776089251095,-376.99631480336416,-93714.14216653691,118847.76089251094,-37699.631480336415,-0.0005555555555555556,-0.5555555555555556,-86059.61648168287
4,0.25922592259225924,-1.5680133317987512,1.5355481774115092,-691.6448734237007,-156801.33317987513,153554.8177411509,-69164.48734237006,-0.0005555555555555556,0.5555555555555556,-3453667.4079618105
5,0.324032403240324,-2.190748568462362,2.086678414479074,-1003.7468056132282,-219074.85684623622,208667.8414479074,-100374.68056132282,-0.0005555555555555556,0.5555555555555556,-3453667.4079618105
6,0.38883888388838883,-2.804763497176715,2.8862773405214988,-1312.2459038087777,-280476.34971767146,288627.73405214987,-131224.59038087778,-0.0005555555555555556,0.5555555555555556,-3453667.4079618105
7,0.4536453645364536,-3.4093778988864174,3.9713758381907023,-1616.4067212842115,-340937.78988864174,397137.58381907025,-161640.67212842114,-0.0005555555555555556,0.5555555555555556,-3453667.4079618105
8,0.5184518451845185,-4.003838956133635,5.370051323109054,-1915.6380324534387,-400383.89561336354,537005.1323109054,-191563.80324534388,-0.0005555555555555556,0.5555555555555556,-63490328.52093876
9,0.5832583258325832,-3.2988254090116667,6.896759580667221,-1739.3746819751161,-329882.5409011667,689675.9580667221,-173937.46819751163,0.0005555555555555556,0.5555555555555556,-63490328.52093876
10,0.648064806480648,-2.598051629097144,8.327913383514158,-1394.128473877267,-259805.16290971442,832791.3383514158,-139412.8473877267,0.0005555555555555556,0.5555555555555556,-47229340.31631592
11,0.7128712871287128,-3.1903498110457553,9.853716592022165,-1516.7372102827353,-319034.9811045755,985371.6592022165,-151673.72102827352,-0.0005555555555555556,-0.5555555555555556,-47229340.31631592
12,0.7776777677767777,-3.771549960921278,11.696408889412627,-1804.1171139286275,-377154.9960921278,1169640.8889412626,-180411.71139286275,-0.0005555555555555556,-0.5555555555555556,-55901951.34007236
13,0.8424842484248425,-4.340827865009085,13.876664864163054,-2090.344212387125,-434082.7865009085,1387666.4864163054,-209034.4212387125,-0.0005555555555555556,-0.5555555555555556,-79092578.744637
14,0.9072907290729072,-3.608883589415051,16.191410815205185,-1900.0365335458691,-360888.3589415051,1619141.0815205185,-190003.65335458692,0.0005555555555555556,-0.5555555555555556,-87726375.76353055
15,0.972097209720972,-4.168043826051461,18.640389184359048,-2010.6221134668647,-416804.3826051461,1864038.918435905,-201062.21134668647,-0.0005555555555555556,-0.5555555555555556,-87726375.76353055
16,1.036903690369037,-3.4254341837738016,21.231642733415974,-1810.2841260783593,-342543.4183773802,2123164.2733415975,-181028.41260783593,0.0005555555555555556,-0.5555555555555556,-79634228.18706724
17,1.1017101710171016,-2.684756685822522,23.73895194610132,-1444.5977340049553,-268475.6685822522,2373895.194610132,-144459.77340049553,0.0005555555555555556,-0.5555555555555556,-50710764.509553164
18,1.1665166516651664,-1.9461337025250682,26.153473671103466,-1075.3310472070175,-194613.37025250684,2615347.3671103464,-107533.10472070175,0.0005555555555555556,-0.5555555555555556,-28098988.945485793
19,1.2313231323132312,-1.2096697746312266,28.466982475965285,-706.9673760609688,-120966.97746312266,2846698.2475965284,-70696.73760609688,0.0005555555555555556,-0.5555555555555556,-12145213.179596828
