t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,-24.31899919526117
1,0.06480648064806481,1.6453769106785125,0.8320659315048389,713.8502001078647,164537.69106785126,83206.59315048388,71385.02001078647,0.0005555555555555556,-0.5555555555555556,-24.31899919526117
2,0.12961296129612962,0.9925136224973229,0.6768635506889843,573.3265726765361,99251.3622497323,67686.35506889843,57332.65726765361,-0.0005555555555555556,-0.5555555555555556,-93031.43031450351
3,0.19441944194419442,1.6341711967330492,0.5379708770510528,720.3232306953621,163417.11967330493,53797.08770510528,72032.32306953621,0.0005555555555555556,-0.5555555555555556,-93031.43031450351
4,0.25922592259225924,2.267082038009567,0.35234801463842036,1020.4532603233989,226708.2038009567,35234.801463842035,102045.32603233989,0.0005555555555555556,0.5555555555555556,-147851.8253286656
5,0.324032403240324,1.6019859053627916,0.21815741086918666,853.9505531582045,160198.59053627917,21815.741086918668,85395.05531582044,-0.0005555555555555556,0.5555555555555556,-211111.51978094794
6,0.38883888388838883,2.2318607483545234,0.1290219013197914,968.6530668082398,223186.07483545234,12902.190131979141,96865.30668082398,0.0005555555555555556,0.5555555555555556,-211111.51978094794
7,0.4536453645364536,2.854204384394232,0.059414350977171466,1179.2869995007306,285420.4384394232,5941.435097717147,117928.69995007306,0.0005555555555555556,0.5555555555555556,-271501.9350433094
8,0.5184518451845185,2.1800640944275327,0.026542594110138023,902.5021554511309,218006.40944275327,2654.2594110138025,90250.21554511308,-0.0005555555555555556,-0.5555555555555556,-235733.53977298393
9,0.5832583258325832,1.5126058468428853,0.014762226974729842,538.4791400332134,151260.58468428854,1476.2226974729842,53847.91400332134,-0.0005555555555555556,0.5555555555555556,-82989.16594609551
10,0.648064806480648,0.8520367551770922,0.010346147512804306,276.45276362433543,85203.67551770923,1034.6147512804305,27645.276362433542,-0.0005555555555555556,0.5555555555555556,-21448.606069626272
11,0.7128712871287128,0.19844688889891898,0.00915531386956476,92.31105799086043,19844.6888898919,915.531386956476,9231.105799086043,-0.0005555555555555556,-0.5555555555555556,-2257.2820003726424
12,0.7776777677767777,0.8410138084848885,0.008112642980151012,153.93844656229066,84101.38084848884,811.2642980151012,15393.844656229066,0.0005555555555555556,-0.5555555555555556,-2257.2820003726424
13,0.8424842484248425,0.18751012482338722,0.007204331290079019,76.59345365882375,18751.012482338723,720.4331290079019,7659.345365882375,-0.0005555555555555556,0.5555555555555556,-1521.1168359651554
