t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,-24.31899919526117
1,0.06480648064806481,0.3473967144044759,0.9432321718230502,245.23791267649182,34739.671440447586,94323.21718230502,24523.791267649183,-0.0005555555555555556,-0.5555555555555556,-24.31899919526117
2,0.12961296129612962,-0.2982273804304726,1.001665840664692,-59.34873618018445,-29822.73804304726,100166.58406646921,-5934.873618018445,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
3,0.19441944194419442,-0.9365496447845609,1.1883026537269432,-376.3826158692258,-93654.9644784561,118830.26537269432,-37638.26158692258,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
4,0.25922592259225924,-1.5671608143429039,1.5351866286494158,-691.2490744676402,-156716.0814342904,153518.66286494158,-69124.90744676402,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
5,0.324032403240324,-2.189550367126547,2.086005301768377,-1003.2001112021387,-218955.0367126547,208600.5301768377,-100320.01112021387,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
6,0.38883888388838883,-2.8030910619444898,2.8851141661910464,-1311.4814063392437,-280309.10619444895,288511.4166191046,-131148.14063392437,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
7,0.4536453645364536,-3.407051580596286,3.969476667559559,-1615.3418208226663,-340705.1580596286,396947.6667559559,-161534.18208226663,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
8,0.5184518451845185,-4.000622417934521,5.367081638347882,-1914.1626996463567,-400062.24179345206,536708.1638347881,-191416.26996463566,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
9,0.5832583258325832,-4.582939107500991,7.09950135851101,-2207.427610660533,-458293.9107500991,709950.135851101,-220742.7610660533,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
10,0.648064806480648,-5.153096602091543,9.185033920942121,-2494.6654957757537,-515309.66020915436,918503.3920942121,-249466.54957757538,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
11,0.7128712871287128,-5.71015595341919,11.640892354554795,-2775.4139412907916,-571015.595341919,1164089.2354554795,-277541.3941290792,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
12,0.7776777677767777,-6.253146272447197,14.484410758604508,-3049.202338044399,-625314.6272447198,1448441.0758604507,-304920.2338044399,-0.0005555555555555556,0.5555555555555556,-24.31899919526117
13,0.8424842484248425,-6.781064260267997,17.73363067062534,-3315.5447665779097,-678106.4260267997,1773363.0670625342,-331554.47665779095,-0.0005555555555555556,0.5555555555555556,-225932530.30218127
14,0.9072907290729072,-7.2928726118471285,21.407564766647653,-3573.937105560553,-729287.2611847129,2140756.4766647653,-357393.7105560553,-0.0005555555555555556,0.5555555555555556,-225932530.30218127
15,0.972097209720972,-7.787497934965385,25.52630898102636,-3823.855640327875,-778749.7934965385,2552630.898102636,-382385.5640327875,-0.0005555555555555556,0.5555555555555556,-310384545.52911025
16,1.036903690369037,-8.263828473611449,30.111088820681086,-4064.7563961042615,-826382.8473611448,3011108.882068109,-406475.63961042615,-0.0005555555555555556,0.5555555555555556,-355311492.27423406
17,1.1017101710171016,-7.432734419709483,34.95357479616586,-3825.6320486063137,-743273.4419709484,3495357.479616586,-382563.2048606314,0.0005555555555555556,0.5555555555555556,-355311492.27423406
18,1.1665166516651664,-6.598388255667546,39.82747364791412,-3413.960858735691,-659838.8255667546,3982747.364791412,-341396.0858735691,0.0005555555555555556,0.5555555555555556,-283219633.74559295
19,1.2313231323132312,-5.760671489615271,44.72906572508601,-2995.9050269710638,-576067.1489615272,4472906.572508601,-299590.5026971064,0.0005555555555555556,0.5555555555555556,-218103366.14847434
20,1.296129612961296,-4.919390495889683,49.655587490722546,-2575.9267280595586,-491939.0495889683,4965558.749072255,-257592.67280595587,0.0005555555555555556,0.5555555555555556,-161240189.98002058
21,1.3609360936093609,-5.362731440499656,54.83793373576085,-2625.018555822765,-536273.1440499657,5483793.373576085,-262501.8555822765,-0.0005555555555555556,-0.5555555555555556,-161240189.98002058
22,1.4257425742574257,-4.497380868171352,60.29154003957619,-2363.6517771139256,-449738.0868171352,6029154.003957619,-236365.17771139255,0.0005555555555555556,0.5555555555555556,-135760455.70166242
23,1.4905490549054905,-4.915351933526023,66.02461451019468,-2404.8771207872687,-491535.1933526023,6602461.451019468,-240487.71207872688,-0.0005555555555555556,-0.5555555555555556,-135760455.70166242
24,1.5553555355535553,-5.311727375129436,72.28793606221151,-2601.450564282691,-531172.7375129437,7228793.606221152,-260145.0564282691,-0.0005555555555555556,-0.5555555555555556,-140537453.5021782
25,1.6201620162016201,-5.685167739180403,79.10796737783451,-2790.9265116720635,-568516.7739180403,7910796.737783452,-279092.65116720635,-0.0005555555555555556,0.5555555555555556,-164451353.32282618
26,1.684968496849685,-6.03432523168472,86.51221665666262,-2968.916998341837,-603432.523168472,8651221.665666262,-296891.6998341837,-0.0005555555555555556,0.5555555555555556,-189279289.99840674
27,1.7497749774977498,-6.357797631450242,94.5292768527803,-3134.2762238464206,-635779.7631450242,9452927.68527803,-313427.6223846421,-0.0005555555555555556,0.5555555555555556,-189279289.99840674
