t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,
1,0.06480648064806481,0.9934643178391482,0.8869787752736712,478.7610448695979,99346.43178391483,88697.87752736712,47876.10448695979,0.0,0.0,
2,0.12961296129612962,0.9865421203307781,0.7790397352813954,487.83094661371837,98654.21203307781,77903.97352813954,48783.09466137183,0.0,0.0,
3,0.19441944194419442,0.9792339502497776,0.6771994118735136,483.76218971176604,97923.39502497776,67719.94118735136,48376.218971176604,0.0,0.0,
4,0.25922592259225924,0.971571883099543,0.5823970340422443,478.97270690758614,97157.1883099543,58239.70340422443,47897.27069075861,0.0,0.0,
5,0.324032403240324,0.9635922131156345,0.4954306969768182,473.76911278786116,96359.22131156345,49543.06969768182,47376.911278786116,0.0,0.0,
6,0.38883888388838883,0.9553339307427315,0.4168942747212521,468.11552343055007,95533.39307427316,41689.427472125215,46811.55234305501,0.0,0.0,
7,0.4536453645364536,0.946837655803538,0.3471243058705022,461.9519411331875,94683.7655803538,34712.43058705022,46195.19411331875,0.0,0.0,
8,0.5184518451845185,0.9381444109656611,0.2861683318660103,455.19993179336615,93814.44109656611,28616.83318660103,45519.99317933661,0.0,0.0,
9,0.5832583258325832,0.929294333871546,0.23378353412776184,447.76005242408894,92929.4333871546,23378.353412776185,44776.00524240889,0.0,0.0,
10,0.648064806480648,0.9203254691040439,0.18946813221898087,439.51008432026026,92032.54691040439,18946.813221898086,43951.00843202603,0.0,0.0,
11,0.7128712871287128,0.9112727734341902,0.15251995131881949,430.3049393068193,91127.27734341902,15251.99513188195,43030.49393068193,0.0,0.0,
12,0.7776777677767777,0.9021674268183011,0.12211016170334157,419.9791943184565,90216.7426818301,12211.016170334158,41997.91943184565,0.0,0.0,
13,0.8424842484248425,0.8930364817760504,0.09735803907950553,408.3533688360313,89303.64817760505,9735.803907950554,40835.33688360313,0.0,0.0,
14,0.9072907290729072,0.8839028255351091,0.07739501141106744,395.2449654640955,88390.28255351092,7739.501141106744,39524.49654640955,0.0,0.0,
15,0.972097209720972,0.8747853891161921,0.061411399072509774,380.48526481180585,87478.53891161921,6141.139907250978,38048.52648118058,0.0,0.0,
16,1.036903690369037,0.8656995214512623,0.04868459117750366,363.94192695097195,86569.95214512623,4868.459117750365,36394.1926950972,0.0,0.0,
17,1.1017101710171016,0.8566574508392077,0.03859117775046336,345.54621737975464,85665.74508392077,3859.117775046336,34554.62173797547,0.0,0.0,
18,1.1665166516651664,0.8476687719358763,0.03060729156932026,325.3216954560819,84766.87719358763,3060.729156932026,32532.16954560819,0.0,0.0,
19,1.2313231323132312,0.8387409156365955,0.024301530309773674,303.4090454580234,83874.09156365955,2430.1530309773675,30340.90454580234,0.0,0.0,
20,1.296129612961296,0.8298795761772115,0.01932405577174905,280.08021471512586,82987.95761772116,1932.405577174905,28008.021471512588,0.0,0.0,
21,1.3609360936093609,0.8210890823541925,0.015394415686056788,255.73535248217763,82108.90823541925,1539.4415686056789,25573.535248217762,0.0,0.0,
22,1.4257425742574257,0.8123727080856076,0.012289666879082393,230.8788420979035,81237.27080856076,1228.9666879082392,23087.884209790347,0.0,0.0,
23,1.4905490549054905,0.8037329228171542,0.009833640837759044,206.07591134622652,80373.29228171543,983.3640837759044,20607.591134622653,0.0,0.0,
24,1.5553555355535553,0.7951715858339531,0.007887696882551252,181.89707143233005,79517.15858339531,788.7696882551252,18189.707143233005,0.0,0.0,
25,1.6201620162016201,0.7866900911576697,0.006343009561455089,158.86162249808535,78669.00911576698,634.300956145509,15886.162249808534,0.0,0.0,
26,1.684968496849685,0.7782894715586391,0.005114277887702023,137.39168827694948,77828.94715586392,511.42778877020237,13739.168827694948,0.0,0.0,
27,1.7497749774977498,0.7699704710856765,0.004134674343529547,117.78467666143757,76997.04710856765,413.46743435295474,11778.467666143757,0.0,0.0,
