t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,
1,0.06480648064806481,0.9983410630526336,0.8865526592640807,480.5412073843923,99834.10630526335,88655.26592640807,48054.12073843923,0.0,0.0,
2,0.12961296129612962,0.9956648003266927,0.7775053890391518,491.7640153349456,99566.48003266926,77750.53890391518,49176.40153349456,0.0,0.0,
3,0.19441944194419442,0.9920020472289599,0.6741302670737778,489.549053722703,99200.20472289599,67413.02670737778,48954.905372270296,0.0,0.0,
4,0.25922592259225924,0.9874223260590909,0.5776124801830169,486.30763718872925,98742.23260590908,57761.24801830169,48630.76371887293,0.0,0.0,
5,0.324032403240324,0.9820057515320338,0.48897172801345334,482.35893197281894,98200.57515320339,48897.17280134533,48235.8931972819,0.0,0.0,
6,0.38883888388838883,0.9758402350015816,0.4089835236965641,477.67986895266256,97584.02350015816,40898.35236965641,47767.98689526626,0.0,0.0,
7,0.4536453645364536,0.9690187136449022,0.3381127342677676,472.2214593427196,96901.87136449022,33811.27342677676,47222.14593427196,0.0,0.0,
8,0.5184518451845185,0.9616359119099847,0.27647448738243324,465.91267678446127,96163.59119099847,27647.448738243325,46591.26767844613,0.0,0.0,
9,0.5832583258325832,0.9537849435603308,0.223834015158058,458.6561302004239,95378.49435603309,22383.4015158058,45865.61302004239,0.0,0.0,
10,0.648064806480648,0.9455541493674187,0.17964820417895783,450.32497072927,94555.41493674187,17964.820417895782,45032.497072927,0.0,0.0,
11,0.7128712871287128,0.9370245358797219,0.14314065819968852,440.76222911078224,93702.4535879722,14314.065819968851,44076.22291107822,0.0,0.0,
12,0.7776777677767777,0.9282680552420767,0.11339380365990426,429.7841288037406,92826.80552420767,11339.380365990426,42978.41288037406,0.0,0.0,
13,0.8424842484248425,0.9193467911211474,0.08943951064669259,417.18894043751055,91934.67911211474,8943.95106466926,41718.894043751054,0.0,0.0,
14,0.9072907290729072,0.9103129542365248,0.07033384887514842,402.77296675840796,91031.29542365248,7033.3848875148415,40277.29667584079,0.0,0.0,
15,0.972097209720972,0.9012094889266058,0.05520892573437669,386.3547716556494,90120.94889266058,5520.892573437669,38635.47716556494,0.0,0.0,
16,1.036903690369037,0.8920710614778252,0.0433016703296059,367.80733464647074,89207.10614778253,4330.1670329605895,36780.73346464707,0.0,0.0,
17,1.1017101710171016,0.8829252250105952,0.03396380750525663,347.0955822062275,88292.52250105952,3396.3807505256627,34709.55822062275,0.0,0.0,
18,1.1665166516651664,0.873793607076697,0.02665884689617635,324.31354405704985,87379.3607076697,2665.8846896176346,32431.354405704984,0.0,0.0,
19,1.2313231323132312,0.8646930212725805,0.020951538289310664,299.7122864327005,86469.30212725805,2095.1538289310665,29971.228643270053,0.0,0.0,
20,1.296129612961296,0.8556364497444628,0.01649396613906832,273.7085699176192,85563.64497444629,1649.3966139068323,27370.856991761917,0.0,0.0,
21,1.3609360936093609,0.8466338754322893,0.013011034616739395,246.86624544088735,84663.38754322894,1301.1034616739396,24686.624544088736,0.0,0.0,
22,1.4257425742574257,0.8376929628583735,0.010286912572032163,219.848827610916,83769.29628583735,1028.6912572032163,21984.8827610916,0.0,0.0,
23,1.4905490549054905,0.828819597892427,0.008153173025607616,193.35045979976246,82881.9597892427,815.3173025607616,19335.045979976247,0.0,0.0,
24,1.5553555355535553,0.8200183035172028,0.00647884078985441,168.01996153118364,82001.83035172029,647.884078985441,16801.996153118365,0.0,0.0,
25,1.6201620162016201,0.8112925521115246,0.005162273658742612,144.39513892918902,81129.25521115246,516.2273658742612,14439.513892918902,0.0,0.0,
26,1.684968496849685,0.8026449958726574,0.004124667203657979,122.86062451789563,80264.49958726573,412.46672036579787,12286.062451789563,0.0,0.0,
27,1.7497749774977498,0.7940776359201291,0.0033049285467990452,103.63439744989213,79407.76359201291,330.4928546799045,10363.439744989213,0.0,0.0,
28,1.8145814581458144,0.7855919477447141,0.0026556684985523755,86.77977415693138,78559.19477447141,265.56684985523754,8677.977415693138,0.0,0.0,
29,1.8793879387938792,0.7771889767553146,0.0021400881336193288,72.23432778668983,77718.89767553147,214.00881336193288,7223.432778668983,0.0,0.0,
30,1.944194419441944,0.768869413643211,0.0017295703992765248,59.84597729581669,76886.9413643211,172.9570399276525,5984.597729581669,0.0,0.0,
31,2.009000900090009,0.7606336558491528,0.001401821939154099,49.40824828629072,76063.36558491527,140.1821939154099,4940.824828629072,0.0,0.0,
32,2.073807380738074,0.7524818589078924,0.0011394414073662206,40.689869865584846,75248.18589078925,113.94414073662206,4068.9869865584847,0.0,0.0,
33,2.1386138613861387,0.7444139798542335,0.0009288168891923973,33.45678796608019,74441.39798542335,92.88168891923974,3345.678796608019,0.0,0.0,
34,2.203420342034203,0.7364298139922014,0.000759276570165727,27.486750455779568,73642.98139922014,75.92765701657271,2748.6750455779566,0.0,0.0,
35,2.268226822682268,0.7285290259052245,0.0006224339787666267,22.577707242233927,72852.90259052246,62.24339787666267,2257.770724223393,0.0,0.0,
36,2.3330333033303328,0.7207111754102375,0.0005116826313116777,18.551606783803567,72071.11754102375,51.16826313116777,1855.1606783803568,0.0,0.0,
37,2.3978397839783976,0.7129757390918755,0.00042180540624000917,15.255087552482106,71297.57390918754,42.18054062400092,1525.5087552482105,0.0,0.0,
38,2.4626462646264624,0.7053221280188753,0.0003486720791904544,12.55827919081869,70532.21280188752,34.86720791904544,1255.827919081869,0.0,0.0,
39,2.5274527452745272,0.697749702210279,0.0002890046741667418,10.35258743534836,69774.97022102789,28.90046741667418,1035.258743534836,0.0,0.0,
40,2.592259225922592,0.6902577823722776,0.00024019505356043597,8.548058996476145,69025.77823722776,24.019505356043595,854.8058996476145,0.0,0.0,
41,2.657065706570657,0.6828456593709586,0.00020016281288627577,7.070696330991284,68284.56593709586,20.016281288627578,707.0696330991284,0.0,0.0,
42,2.7218721872187217,0.6755126018459182,0.00016724432874143882,5.859932974640025,67551.26018459183,16.724432874143883,585.9932974640026,0.0,0.0,
43,2.7866786678667865,0.6682578623098534,0.000140105933351607,4.866370622134865,66825.78623098534,14.010593335160701,486.6370622134865,0.0,0.0,
44,2.8514851485148514,0.6610806820229886,0.00011767581232098622,4.049814952936186,66108.06820229886,11.767581232098623,404.98149529361865,0.0,0.0,
45,2.916291629162916,0.6539802948809049,9.909046334131508e-05,3.377607924490907,65398.02948809049,9.909046334131508,337.76079244909073,0.0,0.0,
46,2.981098109810981,0.646955930510707,8.365250370599563e-05,2.8232337427001215,64695.5930510707,8.365250370599563,282.32337427001215,0.0,0.0,
47,3.045904590459046,0.6400068167335282,7.079734281241843e-05,2.3651666362251,64000.681673352825,7.079734281241843,236.51666362251,0.0,0.0,
48,3.1107110711071106,0.6331321815206498,6.0066795085040744e-05,1.9859262091759187,63313.218152064976,6.0066795085040745,198.59262091759186,0.0,0.0,
49,3.1755175517551755,0.6263312545453177,5.108813893125512e-05,1.671307495559044,62633.12545453177,5.108813893125512,167.1307495559044,0.0,0.0,
50,3.2403240324032403,0.6196032684118643,4.35574588652937e-05,1.4097560010949859,61960.326841186434,4.35574588652937,140.9756001094986,0.0,0.0,
51,3.305130513051305,0.6129474596272438,3.722636393286071e-05,1.191861869737758,61294.74596272438,3.722636393286071,119.1861869737758,0.0,0.0,
52,3.36993699369937,0.606363069366861,3.1891373650070096e-05,1.009951220642419,60636.3069366861,3.1891373650070096,100.99512206424191,0.0,0.0,
53,3.4347434743474348,0.5998493440760007,2.738541625745972e-05,0.8577563385933761,59984.93440760006,2.738541625745972,85.7756338593376,0.0,0.0,
54,3.4995499549954996,0.5934055359397522,2.3571003430193936e-05,0.7301496216615448,59340.55359397522,2.3571003430193938,73.01496216615449,0.0,0.0,
55,3.5643564356435644,0.5870309032476312,2.0334738514063612e-05,0.6229289531409004,58703.09032476312,2.0334738514063613,62.29289531409003,0.0,0.0,
56,3.629162916291629,0.5807247106737786,1.758288787487509e-05,0.5326444857158861,58072.47106737786,1.758288787487509,53.26444857158861,0.0,0.0,
57,3.6939693969396936,0.5744862294894035,1.5237801661532132e-05,0.4564587464418343,57448.622948940356,1.523780166153213,45.64587464418343,0.0,0.0,
58,3.7587758775877584,0.5683147377207765,1.3235014731232459e-05,0.3920335438068167,56831.47377207765,1.323501473123246,39.203354380681674,0.0,0.0,
59,3.8235823582358233,0.5622095202634209,1.1520893396254175e-05,0.33743843617541336,56220.952026342085,1.1520893396254175,33.74384361754134,0.0,0.0,
60,3.888388838883888,0.5561698689610304,1.0050721131132616e-05,0.29107655384778425,55616.98689610304,1.0050721131132616,29.107655384778425,0.0,0.0,
61,3.953195319531953,0.5501950826559532,8.787138054983856e-06,0.25162439857798613,55019.508265595316,0.8787138054983856,25.162439857798613,0.0,0.0,
62,4.018001800180018,0.5442844672167425,7.698866138340896e-06,0.2179829121299008,54428.44672167425,0.7698866138340896,21.79829121299008,0.0,0.0,
63,4.082808280828083,0.5384373355472012,6.759665657240613e-06,0.18923764065486856,53843.73355472012,0.6759665657240613,18.923764065486857,0.0,0.0,
64,4.147614761476148,0.5326530075804844,5.9474791921709255e-06,0.1646262502035058,53265.30075804844,0.5947479192170926,16.46262502035058,0.0,0.0,
65,4.212421242124212,0.526930810261151,5.2437280406555395e-06,0.14351199162755868,52693.0810261151,0.524372804065554,14.351199162755869,0.0,0.0,
66,4.2772277227722775,0.5212700775174895,4.632732744502695e-06,0.1253619875633227,52127.007751748955,0.46327327445026956,12.53619875633227,0.0,0.0,
67,4.342034203420342,0.5156701502260169,4.101234890014514e-06,0.1097294338661769,51567.01502260169,0.4101234890014514,10.97294338661769,0.0,0.0,
68,4.406840684068406,0.5101303761696792,3.6380017072934767e-06,0.09623898381284207,51013.037616967915,0.36380017072934767,9.623898381284206,0.0,0.0,
69,4.4716471647164715,0.5046501099910096,3.2334984976975397e-06,0.08457472442230729,50465.01099910096,0.32334984976975395,8.45747244223073,0.0,0.0,
70,4.536453645364536,0.4992287131412577,2.8796167333443692e-06,0.07447026740644927,49922.87131412577,0.28796167333443695,7.447026740644927,0.0,0.0,
71,4.601260126012601,0.49386555382632225,2.569447938957482e-06,0.06570056815860428,49386.55538263222,0.2569447938957482,6.570056815860428,0.0,0.0,
72,4.6660666066606655,0.48856000695016644,2.2970952947028464e-06,0.05807515929345111,48856.00069501664,0.22970952947028464,5.8075159293451115,0.0,0.0,
73,4.730873087308731,0.4833114540562707,2.05751637649015e-06,0.051432544125744634,48331.14540562707,0.205751637649015,5.143254412574463,0.0,0.0,
74,4.795679567956795,0.47811928326758,1.8463916469930049e-06,0.04563554295591757,47811.928326758,0.1846391646993005,4.563554295591757,0.0,0.0,
75,4.86048604860486,0.4729828892253176,1.6600142816547556e-06,0.0405674233786421,47298.28892253176,0.16600142816547556,4.05674233786421,0.0,0.0,
76,4.925292529252925,0.4679016730269746,1.49519770325496e-06,0.03612867684968573,46790.16730269746,0.14951977032549602,3.612867684968573,0.0,0.0,
77,4.99009900990099,0.46287504216372555,1.3491978414038603e-06,0.032234328876425335,46287.50421637255,0.13491978414038602,3.2234328876425336,0.0,0.0,
78,5.0549054905490545,0.45790241045748087,1.2196476577639108e-06,0.028811690573366022,45790.24104574809,0.12196476577639108,2.881169057336602,0.0,0.0,
79,5.11971197119712,0.45298319799774467,1.104501906436852e-06,0.02579847567171403,45298.319799774465,0.1104501906436852,2.5798475671714027,0.0,0.0,
80,5.184518451845184,0.4481168310784211,1.001990449927232e-06,0.02314122230269317,44811.68310784211,0.1001990449927232,2.3141222302693167,0.0,0.0,
81,5.249324932493249,0.4433027421346842,9.105787389796973e-07,0.020793965067253086,44330.274213468416,0.09105787389796974,2.0793965067253084,0.0,0.0,
82,5.314131413141314,0.4385403696800084,8.289343011420396e-07,0.018717118732285563,43854.036968000844,0.08289343011420396,1.8717118732285563,0.0,0.0,
83,5.378937893789379,0.433829158243437,7.558982776174867e-07,0.016876536849419962,43382.9158243437,0.07558982776174868,1.6876536849419963,0.0,0.0,
84,5.443744374437443,0.42916855830715483,6.904612085149881e-07,0.015242716837913173,42916.85583071548,0.0690461208514988,1.5242716837913173,0.0,0.0,
85,5.508550855085509,0.42455802624441763,6.317423992044736e-07,0.013790127656120534,42455.80262444176,0.06317423992044736,1.3790127656120534,0.0,0.0,
86,5.573357335733573,0.4199970242578822,5.789723101840938e-07,0.012496640238269891,41999.70242578822,0.057897231018409386,1.2496640238269892,0.0,0.0,
87,5.638163816381638,0.415485020318372,5.314775037728503e-07,0.011343044217640433,41548.5020318372,0.05314775037728502,1.1343044217640434,0.0,0.0,
88,5.702970297029703,0.41102148810410893,4.886677563982841e-07,0.01031263721553531,41102.148810410894,0.048866775639828414,1.031263721553531,0.0,0.0,
89,5.767776777677767,0.4066059069404323,4.500250079823054e-07,0.009390875253800982,40660.59069404323,0.04500250079823054,0.9390875253800982,0.0,0.0,
90,5.832583258325832,0.4022377617400256,4.150938721679081e-07,0.008565074733579864,40223.77617400256,0.04150938721679081,0.8565074733579864,0.0,0.0,
91,5.897389738973898,0.3979165429436655,3.834734746996912e-07,0.00782415798488038,39791.654294366555,0.038347347469969116,0.782415798488038,0.0,0.0,
92,5.962196219621962,0.3936417464615036,3.548104236676782e-07,0.007158435687799857,39364.174646150364,0.03548104236676782,0.7158435687799858,0.0,0.0,
93,6.027002700270026,0.3894128736148909,3.28792745775174e-07,0.006559420543691649,38941.28736148909,0.032879274577517395,0.6559420543691649,0.0,0.0,
94,6.091809180918092,0.3852294310787517,3.051446483075973e-07,0.006019667471538287,38522.943107875166,0.030514464830759726,0.6019667471538287,0.0,0.0,
95,6.156615661566157,0.38109093082451057,2.8362198789265616e-07,0.005532636352651296,38109.09308245106,0.028362198789265616,0.5532636352651296,0.0,0.0,
