t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,
1,0.06480648064806481,0.9919634773472129,0.887109922975802,478.21322336931564,99196.34773472129,88710.9922975802,47821.32233693157,0.0,0.0,
2,0.12961296129612962,0.9837328977506309,0.779512372895788,486.6199696623004,98373.2897750631,77951.2372895788,48661.996966230035,0.0,0.0,
3,0.19441944194419442,0.9752983514890227,0.6781462777452727,481.97878319648083,97529.83514890226,67814.62777452727,48197.87831964808,0.0,0.0,
4,0.25922592259225924,0.9666797992009416,0.5838765257129804,476.7091873723474,96667.97992009416,58387.652571298044,47670.91873723474,0.0,0.0,
5,0.324032403240324,0.9578999578278693,0.4974342673542955,471.11369454817105,95789.99578278694,49743.42673542955,47111.369454817104,0.0,0.0,
6,0.38883888388838883,0.9489830967935474,0.41935819587057815,465.15238887010486,94898.30967935474,41935.81958705781,46515.238887010484,0.0,0.0,
7,0.4536453645364536,0.9399543912687787,0.34994519053080303,458.761873943566,93995.43912687787,34994.5190530803,45876.1873943566,0.0,0.0,
8,0.5184518451845185,0.9308391886744253,0.2892208154776865,451.86140772054824,93083.91886744252,28922.081547768652,45186.14077205482,0.0,0.0,
9,0.5832583258325832,0.9216622386227811,0.23693776514092466,444.35079329326555,92166.2238622781,23693.776514092464,44435.07932932655,0.0,0.0,
10,0.648064806480648,0.9124469690575339,0.19260458619317675,436.1089428714236,91244.69690575339,19260.458619317673,43610.894287142364,0.0,0.0,
11,0.7128712871287128,0.903214887425903,0.15553972228189866,426.99394548284505,90321.4887425903,15553.972228189867,42699.39454828451,0.0,0.0,
12,0.7776777677767777,0.8939851623602839,0.12494005509287762,416.8454245500655,89398.51623602839,12494.005509287761,41684.54245500655,0.0,0.0,
13,0.8424842484248425,0.8847744067771566,0.09995099925251892,405.4901718992528,88477.44067771565,9995.099925251892,40549.01718992528,0.0,0.0,
14,0.9072907290729072,0.8755966491485929,0.07972721654622208,392.7519900694346,87559.6649148593,7972.721654622209,39275.19900694346,0.0,0.0,
15,0.972097209720972,0.8664634555452284,0.0634775809417759,378.46658635264174,86646.34555452284,6347.75809417759,37846.658635264175,0.0,0.0,
16,1.036903690369037,0.8573841547201762,0.05049290479539662,362.50172023851235,85738.41547201762,5049.290479539663,36250.172023851235,0.0,0.0,
17,1.1017101710171016,0.848366120121253,0.04015850153565365,344.78164783316066,84836.6120121253,4015.8501535653654,34478.16478331607,0.0,0.0,
18,1.1665166516651664,0.8394150714373644,0.031955395808125245,325.31329589888736,83941.50714373644,3195.5395808125245,32531.329589888737,0.0,0.0,
19,1.2313231323132312,0.8305353692089219,0.02545422269011498,304.2096761854714,83053.53692089219,2545.422269011498,30420.96761854714,0.0,0.0,
20,1.296129612961296,0.8217302858556913,0.020305219566237605,281.70462011937474,82173.02858556913,2030.5219566237604,28170.462011937474,0.0,0.0,
21,1.3609360936093609,0.8130022438177404,0.016226772012606413,258.1528573577143,81300.22438177404,1622.6772012606414,25815.28573577143,0.0,0.0,
22,1.4257425742574257,0.8043530164156835,0.012994077551208945,234.0116331021417,80435.30164156835,1299.4077551208945,23401.16331021417,0.0,0.0,
23,1.4905490549054905,0.7957838902992286,0.010428788739284831,209.8041869021829,79578.38902992285,1042.878873928483,20980.41869021829,0.0,0.0,
24,1.5553555355535553,0.7872957907912258,0.008390014073564005,186.07061094116256,78729.57907912257,839.0014073564005,18607.061094116256,0.0,0.0,
25,1.6201620162016201,0.7788893735475461,0.006766757100782495,163.3154924539562,77888.93735475461,676.6757100782495,16331.549245395621,0.0,0.0,
26,1.684968496849685,0.7705650877348479,0.005471710198682542,141.96278403358204,77056.50877348479,547.1710198682542,14196.278403358205,0.0,0.0,
27,1.7497749774977498,0.7623232170926739,0.004436243349702379,122.3258978434491,76232.32170926739,443.62433497023795,12232.58978434491,0.0,0.0,
28,1.8145814581458144,0.7541639055067622,0.003606404661997964,104.59635969159852,75416.39055067621,360.6404661997964,10459.635969159852,0.0,0.0,
29,1.8793879387938792,0.7460871730553527,0.002939754446492522,88.84948228654781,74608.71730553526,293.9754446492522,8884.94822865478,0.0,0.0,
30,1.944194419441944,0.7380929271665438,0.002402873306247542,75.06221446857091,73809.29271665438,240.2873306247542,7506.221446857091,0.0,0.0,
31,2.009000900090009,0.7301809719667591,0.0019694081658043344,63.13716290728369,73018.09719667591,196.94081658043345,6313.716290728369,0.0,0.0,
32,2.073807380738074,0.7223510174819975,0.0016185437413560218,52.927508574135125,72235.10174819976,161.85437413560217,5292.750857413513,0.0,0.0,
33,2.1386138613861387,0.7146026892988535,0.001333808362612112,44.25920687487732,71460.26892988535,133.3808362612112,4425.920687487732,0.0,0.0,
34,2.203420342034203,0.7069355386506845,0.001102141443377044,36.948633248543416,70693.55386506845,110.2141443377044,3694.8633248543415,0.0,0.0,
35,2.268226822682268,0.6993490525965761,0.0009131651481301525,30.815270702027824,69934.90525965761,91.31651481301525,3081.5270702027824,0.0,0.0,
36,2.3330333033303328,0.6918426638976621,0.0007586151653882513,25.689906308647057,69184.26638976621,75.86151653882513,2568.9906308647055,0.0,0.0,
37,2.3978397839783976,0.6844157602576294,0.0006318953672058035,21.419217003856616,68441.57602576294,63.18953672058035,2141.9217003856616,0.0,0.0,
38,2.4626462646264624,0.6770676927043461,0.0005277289271936048,17.867707078906133,67706.76927043461,52.77289271936048,1786.7707078906133,0.0,0.0,
39,2.5274527452745272,0.669797783000848,0.0004418845773707773,14.9178533834573,66979.7783000848,44.18845773707773,1491.78533834573,0.0,0.0,
40,2.592259225922592,0.6626053300625894,0.0003709614487345599,12.469171921520385,66260.53300625893,37.09614487345599,1246.9171921520385,0.0,0.0,
41,2.657065706570657,0.6554896154244858,0.0003122196407292234,10.436653213181037,65548.96154244858,31.22196407292234,1043.6653213181037,0.0,0.0,
42,2.7218721872187217,0.6484499078346178,0.00026344653797931997,8.748967983980627,64844.99078346178,26.344653797931997,874.8967983980627,0.0,0.0,
43,2.7866786678667865,0.6414854670741745,0.00022285111574284742,7.346627590266688,64148.54670741745,22.28511157428474,734.6627590266688,0.0,0.0,
44,2.8514851485148514,0.6345955471063557,0.00018898019825097298,6.180240685238979,63459.554710635566,18.898019825097297,618.0240685238979,0.0,0.0,
45,2.916291629162916,0.6277793986540908,0.00016065196789902885,5.208931164307735,62777.939865409084,16.065196789902885,520.8931164307735,0.0,0.0,
46,2.981098109810981,0.6210362712980341,0.00013690305684264652,4.39894472099989,62103.627129803404,13.690305684264652,439.894472099989,0.0,0.0,
47,3.045904590459046,0.6143654151757391,0.00011694635421036249,3.722447049205378,61436.5415175739,11.69463542103625,372.2447049205378,0.0,0.0,
48,3.1107110711071106,0.6077660823518352,0.00010013728464920615,3.1565028648796147,60776.608235183514,10.013728464920614,315.65028648796147,0.0,0.0,
49,3.1755175517551755,0.6012375279183764,8.594679798144653e-05,2.682218069317584,60123.752791837636,8.594679798144652,268.2218069317584,0.0,0.0,
50,3.2403240324032403,0.5947790108748434,7.39396867425456e-05,2.2840248236027705,59477.901087484344,7.39396867425456,228.40248236027705,0.0,0.0,
51,3.305130513051305,0.5883897948287706,6.375714246782845e-05,1.9490892768478931,58838.97948287706,6.375714246782845,194.90892768478932,0.0,0.0,
52,3.36993699369937,0.5820691485506782,5.510269143271239e-05,1.6668230344670778,58206.914855067815,5.510269143271239,166.68230344670778,0.0,0.0,
53,3.4347434743474348,0.5758163464108405,4.7730830501405e-05,1.428481441545627,57581.63464108405,4.7730830501404995,142.8481441545627,0.0,0.0,
54,3.4995499549954996,0.5696306687203156,4.1437824898393526e-05,1.2268339538291824,56963.066872031566,4.143782489839353,122.68339538291823,0.0,0.0,
55,3.5643564356435644,0.5635114019944427,3.6054240663135346e-05,1.0558940265864234,56351.14019944427,3.6054240663135344,105.58940265864234,0.0,0.0,
56,3.629162916291629,0.5574578391535676,3.143887192015552e-05,0.9106979402116545,55745.78391535676,3.1438871920155522,91.06979402116545,0.0,0.0,
57,3.6939693969396936,0.5514692796729448,2.7473792040748254e-05,0.7871237442111956,55146.927967294476,2.7473792040748255,78.71237442111956,0.0,0.0,
58,3.7587758775877584,0.5455450296914873,2.4060312284572896e-05,0.681743024016791,54554.502969148736,2.4060312284572896,68.1743024016791,0.0,0.0,
59,3.8235823582358233,0.5396844020871852,2.1115674697458415e-05,0.5916994872124925,53968.440208718515,2.1115674697458413,59.169948721249256,0.0,0.0,
60,3.888388838883888,0.5338867165255232,1.857034032706822e-05,0.5146094482426549,53388.67165255232,1.857034032706822,51.46094482426549,0.0,0.0,
61,3.953195319531953,0.5281512994860245,1.636576109070252e-05,0.4484801891082125,52815.12994860244,1.636576109070252,44.84801891082125,0.0,0.0,
62,4.018001800180018,0.5224774842710711,1.4452545367352196e-05,0.39164291417948477,52247.74842710711,1.4452545367352196,39.164291417948476,0.0,0.0,
63,4.082808280828083,0.5168646110003712,1.278894474704041e-05,0.34269762473710735,51686.461100037115,1.2788944747040412,34.269762473710735,0.0,0.0,
64,4.147614761476148,0.5113120265938049,1.133960326334849e-05,0.30046773532990895,51131.20265938049,1.133960326334849,30.046773532990894,0.0,0.0,
65,4.212421242124212,0.5058190847448742,1.0074521574571294e-05,0.263962658751295,50581.90847448743,1.0074521574571293,26.396265875129497,0.0,0.0,
66,4.2772277227722775,0.5003851458865622,8.96819750835649e-06,0.23234691576576993,50038.514588656224,0.896819750835649,23.234691576576992,0.0,0.0,
67,4.342034203420342,0.4950095771510789,7.998911588551215e-06,0.2049145934070197,49500.95771510789,0.7998911588551215,20.49145934070197,0.0,0.0,
68,4.406840684068406,0.4896917523246926,7.148131972957893e-06,0.18106819312391706,48969.17523246926,0.7148131972957893,18.106819312391707,0.0,0.0,
69,4.4716471647164715,0.4844310517986323,6.400017925466656e-06,0.16030108666332962,48443.105179863225,0.6400017925466656,16.03010866633296,0.0,0.0,
70,4.536453645364536,0.4792268625168641,5.7410047468395e-06,0.14218294103857415,47922.686251686406,0.57410047468395,14.218294103857415,0.0,0.0,
71,4.601260126012601,0.4740785779213986,5.15945617127868e-06,0.12634759050938169,47407.85779213986,0.5159456171278679,12.634759050938168,0.0,0.0,
72,4.6660666066606655,0.4689855978956719,4.645372741088831e-06,0.11248292828907909,46898.55978956719,0.46453727410888307,11.248292828907909,0.0,0.0,
73,4.730873087308731,0.4639473287064414,4.190146711238669e-06,0.10032246783006496,46394.73287064414,0.4190146711238669,10.032246783006496,0.0,0.0,
74,4.795679567956795,0.45896318294456295,3.7863556990389802e-06,0.08963828636633955,45896.318294456294,0.378635569903898,8.963828636633956,0.0,0.0,
75,4.86048604860486,0.45403257946494774,3.4275886532786944e-06,0.08023511461946792,45403.25794649477,0.3427588653278694,8.023511461946791,0.0,0.0,
76,4.925292529252925,0.4491549433259475,3.1082988296497186e-06,0.071945378391593,44915.49433259475,0.3108298829649719,7.1945378391593,0.0,0.0,
77,4.99009900990099,0.4443297057283704,2.8236793715100434e-06,0.06462503194636106,44432.97057283704,0.28236793715100433,6.462503194636106,0.0,0.0,
78,5.0549054905490545,0.439556303954297,2.569557844347043e-06,0.058150051047666754,43955.630395429704,0.2569557844347043,5.8150051047666755,0.0,0.0,
79,5.11971197119712,0.434834181305833,2.342306688866388e-06,0.05241347644523795,43483.418130583304,0.23423066888663882,5.241347644523795,0.0,0.0,
80,5.184518451845184,0.4301627870439157,2.1387670658352825e-06,0.04732291709821528,43016.27870439157,0.21387670658352825,4.732291709821528,0.0,0.0,
81,5.249324932493249,0.425541576327265,1.9561839854055495e-06,0.04279843966629596,42554.1576327265,0.19561839854055493,4.279843966629596,0.0,0.0,
