t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,
1,0.06480648064806481,1.0015288886823488,0.8862741392220337,481.70494701618367,100152.88886823488,88627.41392220337,48170.494701618365,0.0,0.0,
2,0.12961296129612962,1.001623604387622,0.7765035888682199,494.3334835229815,100162.3604387622,77650.358886822,49433.34835229815,0.0,0.0,
3,0.19441944194419442,1.0003317731449324,0.6721302614525548,493.3251722354498,100033.17731449324,67213.02614525548,49332.517223544986,0.0,0.0,
4,0.25922592259225924,0.9977458664371325,0.5745037221074036,491.0858243176911,99774.58664371325,57450.37221074037,49108.58243176911,0.0,0.0,
5,0.324032403240324,0.993974490534688,0.4847918053893431,487.94220197610383,99397.4490534688,48479.180538934306,48794.22019761038,0.0,0.0,
6,0.38883888388838883,0.9891385518715002,0.4038905083512501,483.8794168361504,98913.85518715002,40389.05083512501,48387.94168361504,0.0,0.0,
7,0.4536453645364536,0.983367070967188,0.3323478702215205,478.85568187722004,98336.7070967188,33234.78702215205,47885.568187722005,0.0,0.0,
8,0.5184518451845185,0.9767922623394483,0.2703197379094592,472.8047448316076,97679.22623394482,27031.973790945918,47280.47448316076,0.0,0.0,
9,0.5832583258325832,0.9695443784355977,0.21757099182214637,465.6301975808178,96954.43784355978,21757.099182214635,46563.019758081784,0.0,0.0,
10,0.648064806480648,0.9617469401438498,0.17352505445573832,457.20130154970633,96174.69401438498,17352.505445573832,45720.13015497063,0.0,0.0,
11,0.7128712871287128,0.9535129209106405,0.1373512823748361,447.3519384561935,95351.29209106405,13735.12823748361,44735.19384561935,0.0,0.0,
12,0.7776777677767777,0.9449422422372068,0.10807025523875086,435.88465098209053,94494.22422372068,10807.025523875085,43588.46509820905,0.0,0.0,
13,0.8424842484248425,0.9361206558764936,0.08465522194345132,422.5817008114497,93612.06558764937,8465.522194345132,42258.17008114497,0.0,0.0,
14,0.9072907290729072,0.9271198368077176,0.06611361655410632,407.22524565942297,92711.98368077177,6611.361655410632,40722.524565942294,0.0,0.0,
15,0.972097209720972,0.9179983625116981,0.05154157274470879,389.627663871334,91799.8362511698,5154.157274470879,38962.7663871334,0.0,0.0,
16,1.036903690369037,0.9088032206272298,0.04015236048365767,369.67132429430757,90880.32206272299,4015.2360483657667,36967.132429430756,0.0,0.0,
17,1.1017101710171016,0.8995715364250682,0.03128433848329573,347.353823893161,89957.15364250682,3128.4338483295733,34735.3823893161,0.0,0.0,
18,1.1665166516651664,0.8903322975989852,0.02439535876026226,322.8304869875017,89033.22975989853,2439.5358760262257,32283.048698750168,0.0,0.0,
19,1.2313231323132312,0.8811079403532546,0.01904976696097464,296.44243221879236,88110.79403532545,1904.976696097464,29644.243221879235,0.0,0.0,
20,1.296129612961296,0.8719157290508427,0.014902490798075117,268.7177230063872,87191.57290508426,1490.2490798075116,26871.77230063872,0.0,0.0,
21,1.3609360936093609,0.8627689076801663,0.011683041482175884,240.3376381970759,86276.89076801663,1168.3041482175884,24033.76381970759,0.0,0.0,
22,1.4257425742574257,0.8536776289849426,0.009180944091044727,212.06967071840225,85367.76289849426,918.0944091044727,21206.967071840227,0.0,0.0,
23,1.4905490549054905,0.8446496823623701,0.0072332318445999305,184.6801707609729,84464.96823623701,723.3231844599931,18468.01707609729,0.0,0.0,
24,1.5553555355535553,0.8356910494940989,0.005714115848377312,158.84722077412883,83569.10494940988,571.4115848377312,15884.722077412884,0.0,0.0,
25,1.6201620162016201,0.8268063198686211,0.004526669939283835,135.0940699364746,82680.6319868621,452.66699392838353,13509.406993647459,0.0,0.0,
26,1.684968496849685,0.8179989979859926,0.0035962556816344893,113.75552898704701,81799.89979859926,359.6255681634489,11375.552898704702,0.0,0.0,
27,1.7497749774977498,0.8092717307506075,0.0028653869023256232,94.97847893460803,80927.17307506075,286.5386902325623,9497.847893460803,0.0,0.0,
28,1.8145814581458144,0.8006264783057929,0.0022897522315590635,78.74845099716374,80062.6478305793,228.97522315590635,7874.8450997163745,0.0,0.0,
29,1.8793879387938792,0.7920646456268196,0.0018351518205509756,64.93013755552977,79206.46456268195,183.51518205509757,6493.013755552976,0.0,0.0,
30,1.944194419441944,0.7835871867451507,0.0014751465650000024,53.310544670810714,78358.71867451507,147.51465650000023,5331.054467081071,0.0,0.0,
31,2.009000900090009,0.775194689235147,0.0011892578415925456,43.63703007875195,77519.4689235147,118.92578415925456,4363.703007875195,0.0,0.0,
32,2.073807380738074,0.7668874437034809,0.0009615901327783205,35.64656637147387,76688.7443703481,96.15901327783205,3564.656637147387,0.0,0.0,
33,2.1386138613861387,0.7586655012762465,0.0007797772971395746,29.085660434994086,75866.55012762465,77.97772971395746,2908.566043499409,0.0,0.0,
34,2.203420342034203,0.7505287211207924,0.000634175992330667,23.722190045328976,75052.87211207923,63.4175992330667,2372.2190045328975,0.0,0.0,
35,2.268226822682268,0.742476809548607,0.0005172476391702849,19.351090626691352,74247.6809548607,51.72476391702849,1935.1090626691353,0.0,0.0,
36,2.3330333033303328,0.7345093519864088,0.00042308418714661006,15.795839881343033,73450.93519864087,42.30841871466101,1579.5839881343034,0.0,0.0,
37,2.3978397839783976,0.7266258389419006,0.0003470436075591856,12.907356064085423,72662.58389419006,34.70436075591856,1290.7356064085423,0.0,0.0,
38,2.4626462646264624,0.7188256869619073,0.00028546919288626154,10.561500055827977,71882.56869619073,28.546919288626153,1056.1500055827978,0.0,0.0,
39,2.5274527452745272,0.7111082554591802,0.0002354729483451682,8.655971676228276,71110.82554591802,23.54729483451682,865.5971676228276,0.0,0.0,
40,2.592259225922592,0.703472860163208,0.00019476807723621333,7.107109087542674,70347.2860163208,19.476807723621334,710.7109087542674,0.0,0.0,
41,2.657065706570657,0.6959187838359131,0.00016153913936917084,5.846868387631604,69591.8783835913,16.153913936917085,584.6868387631604,0.0,0.0,
42,2.7218721872187217,0.6884452847864732,0.00013434117565352204,4.820120697157952,68844.52847864732,13.434117565352203,482.0120697157952,0.0,0.0,
43,2.7866786678667865,0.6810516036246089,0.00011202115083750118,3.982315185457715,68105.1603624609,11.202115083750119,398.23151854577145,0.0,0.0,
44,2.8514851485148514,0.6737369686096099,9.365662968001725e-05,3.2975054474453223,67373.69686096099,9.365662968001725,329.75054474453225,0.0,0.0,
45,2.916291629162916,0.666500599883104,7.850779018766913e-05,2.736710000072014,66650.0599883104,7.8507790187669135,273.67100000720137,0.0,0.0,
46,2.981098109810981,0.6593417128161804,6.597978216575785e-05,2.2765662679894647,65934.17128161804,6.597978216575785,227.65662679894646,0.0,0.0,
47,3.045904590459046,0.6522595206546038,5.5593129093643627e-05,1.8982348022985782,65225.95206546038,5.559312909364363,189.8234802298578,0.0,0.0,
48,3.1107110711071106,0.6452532366079906,4.696039822306062e-05,1.5865125579870345,64525.32366079906,4.696039822306061,158.65125579870346,0.0,0.0,
49,3.1755175517551755,0.6383220754984779,3.976776705133517e-05,1.3291183576281378,63832.207549847786,3.976776705133517,132.91183576281378,0.0,0.0,
50,3.2403240324032403,0.6314652550602476,3.376042357755018e-05,1.1161187411439686,63146.525506024765,3.376042357755018,111.61187411439685,0.0,0.0,
51,3.305130513051305,0.6246819969621037,2.8730975417244277e-05,0.939467449472566,62468.199696210366,2.8730975417244276,93.9467449472566,0.0,0.0,
52,3.36993699369937,0.6179715276101456,2.4510225894999013e-05,0.7926364184029325,61797.152761014564,2.4510225894999014,79.26364184029325,0.0,0.0,
53,3.4347434743474348,0.6113330787756235,2.0959816516972315e-05,0.6703202055477816,61133.30787756235,2.0959816516972314,67.03202055477816,0.0,0.0,
54,3.4995499549954996,0.6047658880836326,1.796634451594579e-05,0.5681992059951129,60476.58880836326,1.7966344515945791,56.819920599511285,0.0,0.0,
55,3.5643564356435644,0.598269199390876,1.5436648892301348e-05,0.4827498650714038,59826.919939087595,1.5436648892301348,48.27498650714038,0.0,0.0,
56,3.629162916291629,0.5918422630748748,1.329402421123221e-05,0.41109243437637966,59184.22630748747,1.329402421123221,41.109243437637964,0.0,0.0,
57,3.6939693969396936,0.5854843362523852,1.1475172686824471e-05,0.3508687137006914,58548.43362523852,1.147517268682447,35.08687137006914,0.0,0.0,
58,3.7587758775877584,0.5791946829411462,9.927745099338462e-06,0.3001437489372996,57919.46829411462,0.9927745099338462,30.01437489372996,0.0,0.0,
59,3.8235823582358233,0.5729725741762022,8.60835239305204e-06,0.2573266801890844,57297.25741762022,0.860835239305204,25.732668018908438,0.0,0.0,
60,3.888388838883888,0.5668172880897723,7.480954340443851e-06,0.22110691175328476,56681.72880897723,0.7480954340443852,22.110691175328476,0.0,0.0,
61,3.953195319531953,0.5607281099618343,6.515550937659825e-06,0.19040255434966594,56072.810996183434,0.6515550937659825,19.040255434966593,0.0,0.0,
62,4.018001800180018,0.5547043322471654,5.687117376402086e-06,0.16431870935040765,55470.433224716544,0.5687117376402087,16.431870935040767,0.0,0.0,
63,4.082808280828083,0.5487452545834431,4.9747354160007265e-06,0.1421136570495097,54874.52545834432,0.4974735416000726,14.211365704950971,0.0,0.0,
64,4.147614761476148,0.542850183784107,4.360883452024707e-06,0.12317140215347039,54285.0183784107,0.4360883452024707,12.317140215347038,0.0,0.0,
65,4.212421242124212,0.537018433818961,3.830855084606784e-06,0.10697934050450879,53701.8433818961,0.3830855084606784,10.697934050450879,0.0,0.0,
66,4.2772277227722775,0.5312493257849201,3.37228195120717e-06,0.09311005817120718,53124.932578492015,0.337228195120717,9.311005817120718,0.0,0.0,
67,4.342034203420342,0.5255421878688442,2.9747413328220028e-06,0.0812064706617523,52554.21878688442,0.2974741332822003,8.120647066175229,0.0,0.0,
68,4.406840684068406,0.5198963553040311,2.6294328260290207e-06,0.07096966660231749,51989.63553040311,0.26294328260290206,7.0969666602317485,0.0,0.0,
69,4.4716471647164715,0.5143111703216459,2.3289113965645886e-06,0.06214894506873839,51431.117032164584,0.23289113965645886,6.214894506873839,0.0,0.0,
70,4.536453645364536,0.5087859820981205,2.066866550951992e-06,0.054533635423242494,50878.59820981205,0.20668665509519918,5.453363542324249,0.0,0.0,
71,4.601260126012601,0.5033201466993716,1.8379393050093402e-06,0.0479463681778284,50332.01466993716,0.183793930500934,4.79463681778284,0.0,0.0,
72,4.6660666066606655,0.4979130270225193,1.6375701895450561e-06,0.04223752918556863,49791.30270225192,0.16375701895450562,4.223752918556864,0.0,0.0,
