t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,
1,0.06480648064806481,1.0049035308657857,0.8859793168784895,482.936958575327,100490.35308657857,88597.93168784895,48293.6958575327,0.0,0.0,
2,0.12961296129612962,1.0079277397286996,0.7754440873501635,497.05224244229555,100792.77397286997,77544.40873501635,49705.224244229554,0.0,0.0,
3,0.19441944194419442,1.00913545757674,0.670018406845511,497.3168789479603,100913.545757674,67001.84068455109,49731.68789479603,0.0,0.0,
4,0.25922592259225924,1.0086421911288281,0.5712289173590233,496.12986033528205,100864.21911288281,57122.891735902325,49612.98603352821,0.0,0.0,
5,0.324032403240324,1.0065866701398605,0.4804029952396827,493.8255002441991,100658.66701398605,48040.29952396827,49382.55002441991,0.0,0.0,
6,0.38883888388838883,1.003125723698897,0.3985655045004259,490.39744206460057,100312.5723698897,39856.55045004259,49039.744206460055,0.0,0.0,
7,0.4536453645364536,0.9984283132236206,0.3263516470775866,485.8115563324541,99842.83132236206,32635.164707758664,48581.155633245406,0.0,0.0,
8,0.5184518451845185,0.9926684877292045,0.26395710577725073,480.0065977308538,99266.84877292045,26395.710577725073,48000.65977308538,0.0,0.0,
9,0.5832583258325832,0.9860180147151734,0.21114136165731048,472.88684427855014,98601.80147151733,21114.136165731048,47288.68442785501,0.0,0.0,
10,0.648064806480648,0.9786396123371193,0.16728688490014593,464.3166181647447,97863.96123371193,16728.688490014592,46431.661816474465,0.0,0.0,
11,0.7128712871287128,0.9706816108276874,0.13150095694209135,454.1188347837261,97068.16108276874,13150.095694209134,45411.883478372605,0.0,0.0,
12,0.7776777677767777,0.9622745414860825,0.10273586926425851,442.08003355135884,96227.45414860825,10273.58692642585,44208.00335513589,0.0,0.0,
13,0.8424842484248425,0.9535297222536308,0.07990208631802198,427.9643975447297,95352.97222536308,7990.208631802198,42796.43975447297,0.0,0.0,
14,0.9072907290729072,0.9445395429148461,0.061956568379259815,411.53927044160343,94453.95429148461,6195.656837925982,41153.927044160344,0.0,0.0,
15,0.972097209720972,0.9353789529366942,0.047959464379375254,392.61319294260085,93537.89529366941,4795.946437937525,39261.31929426009,0.0,0.0,
16,1.036903690369037,0.9261076285376786,0.03710151857913264,371.0849690503057,92610.76285376785,3710.151857913264,37108.496905030566,0.0,0.0,
17,1.1017101710171016,0.9167723852100269,0.02870938744568837,346.99768249073713,91677.23852100268,2870.938744568837,34699.76824907371,0.0,0.0,
18,1.1665166516651664,0.9074095357608533,0.02223702333219167,320.5862267950966,90740.95357608533,2223.702333219167,32058.62267950966,0.0,0.0,
19,1.2313231323132312,0.8980470201665,0.017249966394529522,292.30290722178916,89804.70201665,1724.9966394529522,29230.290722178914,0.0,0.0,
20,1.296129612961296,0.8887062285933975,0.013407314234837747,262.8064085706979,88870.62285933975,1340.7314234837747,26280.64085706979,0.0,0.0,
21,1.3609360936093609,0.8794035002844298,0.010444216558395962,232.90740023738675,87940.35002844298,1044.4216558395963,23290.740023738676,0.0,0.0,
22,1.4257425742574257,0.8701513162125981,0.00815631565822487,203.4777866617468,87015.13162125982,815.631565822487,20347.77866617468,0.0,0.0,
23,1.4905490549054905,0.8609592217732167,0.0063866400953622214,175.34427424742313,86095.92217732167,638.6640095362221,17534.427424742313,0.0,0.0,
24,1.5553555355535553,0.8518345241263848,0.005014944931461472,149.1932096269827,85183.45241263848,501.4944931461472,14919.320962698272,0.0,0.0,
25,1.6201620162016201,0.8427828106852645,0.003949244327775807,125.50879317031301,84278.28106852646,394.92443277758065,12550.879317031302,0.0,0.0,
26,1.684968496849685,0.8338083323043549,0.003119193484981564,104.55379709456457,83380.83323043548,311.9193484981564,10455.379709456458,0.0,0.0,
27,1.7497749774977498,0.8249142882786925,0.0024709728857255637,86.3879527861183,82491.42882786925,247.09728857255638,8638.795278611831,0.0,0.0,
28,1.8145814581458144,0.8161030420374297,0.0019633631649654563,70.91041218690417,81610.30420374297,196.33631649654563,7091.041218690417,0.0,0.0,
29,1.8793879387938792,0.8073762882264707,0.0015647480852317662,57.91102749251872,80737.62882264706,156.47480852317662,5791.102749251872,0.0,0.0,
30,1.944194419441944,0.798735185049452,0.0012508329212649015,47.11863219061621,79873.5185049452,125.08329212649015,4711.863219061621,0.0,0.0,
31,2.009000900090009,0.7901804608034694,0.0010029101832567035,38.23975993182379,79018.04608034693,100.29101832567035,3823.975993182379,0.0,0.0,
32,2.073807380738074,0.7817125003746053,0.0008065420553713117,30.9858655358858,78171.25003746053,80.65420553713118,3098.58655358858,0.0,0.0,
33,2.1386138613861387,0.7733314155993858,0.0006505591542520774,25.09002572531504,77333.14155993858,65.05591542520773,2509.002572531504,0.0,0.0,
34,2.203420342034203,0.7650371023611586,0.0005262990164036764,20.31542502972186,76503.71023611586,52.62990164036764,2031.5425029721862,0.0,0.0,
35,2.268226822682268,0.7568292867038426,0.00042702616541822805,16.458114623096737,75682.92867038427,42.702616541822806,1645.8114623096737,0.0,0.0,
36,2.3330333033303328,0.7487075618709346,0.00034748974240438523,13.346207042252576,74870.75618709346,34.74897424043852,1334.6207042252577,0.0,0.0,
37,2.3978397839783976,0.7406714178977409,0.00028358543463861946,10.83711692728091,74067.14178977409,28.358543463861945,1083.711692728091,0.0,0.0,
38,2.4626462646264624,0.7327202651447033,0.00023209657727108745,8.8139310297099,73272.02651447033,23.209657727108745,881.3931029709901,0.0,0.0,
39,2.5274527452745272,0.7248534529411729,0.00019049544902168976,7.18159360029541,72485.34529411729,19.049544902168975,718.1593600295411,0.0,0.0,
40,2.592259225922592,0.7170702843125141,0.00015679041436552743,5.863286914304102,71707.02843125141,15.679041436552742,586.3286914304102,0.0,0.0,
41,2.657065706570657,0.7093700275886085,0.00012940805387259052,4.797193706667994,70937.00275886085,12.940805387259052,479.7193706667994,0.0,0.0,
42,2.7218721872187217,0.7017519255408736,0.00010710205279555,3.933707194469664,70175.19255408736,10.710205279555,393.3707194469664,0.0,0.0,
