t,tau,x,y,z,E,T,IL,s_1,s_2,Fitness
0,0.0,1.0,1.0,1.0,100000.0,100000.0,100.0,0.0,0.0,
1,0.06480648064806481,0.9906501247332882,0.8872246907603655,477.73384898348525,99065.01247332881,88722.46907603655,47773.38489834852,0.0,0.0,
2,0.12961296129612962,0.9812739610144603,0.7799261359420161,485.56005506514913,98127.39610144604,77992.61359420161,48556.00550651491,0.0,0.0,
3,0.19441944194419442,0.9718520133956732,0.6789757571561007,480.417207340326,97185.20133956731,67897.57571561007,48041.7207340326,0.0,0.0,
4,0.25922592259225924,0.9623934064700259,0.5851739154382278,474.7260464906395,96239.3406470026,58517.391543822785,47472.60464906395,0.0,0.0,
5,0.324032403240324,0.9529089299306159,0.49919367516342505,468.7853986593013,95290.8929930616,49919.36751634251,46878.53986593013,0.0,0.0,
6,0.38883888388838883,0.9434100864613705,0.4215257410025507,462.55178087569874,94341.00864613705,42152.57410025507,46255.178087569875,0.0,0.0,
7,0.4536453645364536,0.9339087746740351,0.35243225497501485,455.9588137486138,93390.87746740351,35243.22549750149,45595.88137486138,0.0,0.0,
8,0.5184518451845185,0.9244169414265818,0.2919191309892438,448.9237249744742,92441.69414265818,29191.913098924382,44892.372497447424,0.0,0.0,
9,0.5832583258325832,0.9149462170534822,0.239734389476063,441.3456118180411,91494.62170534823,23973.438947606297,44134.56118180411,0.0,0.0,
10,0.648064806480648,0.9055075718178449,0.195394696373471,433.1042709795037,90550.75718178449,19539.4696373471,43310.42709795037,0.0,0.0,
11,0.7128712871287128,0.8961110305073395,0.15823565569701437,424.0603976955181,89611.10305073396,15823.565569701437,42406.039769551804,0.0,0.0,
12,0.7776777677767777,0.8867654715516027,0.1274759796616528,414.0578059865792,88676.54715516027,12747.59796616528,41405.78059865792,0.0,0.0,
13,0.8424842484248425,0.8774785212287705,0.10228359707935603,402.9285549876231,87747.85212287704,10228.359707935602,40292.85549876231,0.0,0.0,
14,0.9072907290729072,0.8682565377208978,0.08183345347718092,390.50183795625304,86825.65377208979,8183.345347718092,39050.18379562531,0.0,0.0,
15,0.972097209720972,0.859104668373299,0.065350856206985,376.61735969490235,85910.4668373299,6535.0856206985,37661.73596949023,0.0,0.0,
16,1.036903690369037,0.8500269583656087,0.0521387113382867,361.1435046169267,85002.69583656087,5213.87113382867,36114.350461692666,0.0,0.0,
17,1.1017101710171016,0.8410264893767626,0.041590372385743105,343.99950244544465,84102.64893767626,4159.03723857431,34399.95024454447,0.0,0.0,
18,1.1665166516651664,0.8321055305180453,0.03319154255647442,325.1794709649295,83210.55305180453,3319.154255647442,32517.947096492953,0.0,0.0,
19,1.2313231323132312,0.8232656885619622,0.02651498832606177,304.77449199532026,82326.56885619623,2651.498832606177,30477.449199532028,0.0,0.0,
20,1.296129612961296,0.8145080487386928,0.021211294630662833,282.9875267539153,81450.80487386927,2121.1294630662833,28298.75267539153,0.0,0.0,
21,1.3609360936093609,0.8058333004738027,0.016998042221827325,260.13572480997726,80583.33004738028,1699.8042221827325,26013.572480997726,0.0,0.0,
22,1.4257425742574257,0.7972418444965758,0.013648951237727757,236.63628540737994,79724.18444965758,1364.8951237727756,23663.628540737995,0.0,0.0,
23,1.4905490549054905,0.7887338792441135,0.010983865309007825,212.97548652467077,78873.38792441135,1098.3865309007824,21297.548652467078,0.0,0.0,
24,1.5553555355535553,0.7803094659130274,0.008859980634127625,189.66501908628183,78030.94659130274,885.9980634127626,18966.501908628183,0.0,0.0,
25,1.6201620162016201,0.771968573106491,0.007164428279200628,167.19355866386593,77196.85731064911,716.4428279200629,16719.35586638659,0.0,0.0,
26,1.684968496849685,0.7637111036593908,0.00580815068879102,145.98300803510742,76371.11036593908,580.815068879102,14598.300803510741,0.0,0.0,
27,1.7497749774977498,0.7555369075380287,0.004720932187920557,126.3572681684141,75553.69075380288,472.0932187920557,12635.72681684141,0.0,0.0,
28,1.8145814581458144,0.7474457853413147,0.0038474146837908937,108.52757130894422,74744.57853413146,384.7414683790894,10852.757130894423,0.0,0.0,
29,1.8793879387938792,0.7394374867477115,0.0031439306119921255,92.59397451255228,73943.74867477115,314.3930611992125,9259.397451255229,0.0,0.0,
30,1.944194419441944,0.7315117074063863,0.002576000557678887,78.55926025236163,73151.17074063863,257.6000557678887,7855.926025236163,0.0,0.0,
31,2.009000900090009,0.7236680866002112,0.0021163640662353296,66.34995135979996,72366.80866002112,211.63640662353296,6634.995135979996,0.0,0.0,
32,2.073807380738074,0.7159062068532247,0.0017434340516300436,55.83940993422823,71590.62068532247,174.34340516300438,5583.940993422822,0.0,0.0,
33,2.1386138613861387,0.7082255957520346,0.0014400854754589324,46.869303351423305,70822.55957520346,144.00854754589324,4686.9303351423305,0.0,0.0,
34,2.203420342034203,0.700625729684178,0.0011927065962132417,39.26731198557811,70062.57296841781,119.27065962132417,3926.7311985578112,0.0,0.0,
35,2.268226822682268,0.693106038933725,0.0009904558483464889,32.86034973048625,69310.6038933725,99.04558483464889,3286.034973048625,0.0,0.0,
36,2.3330333033303328,0.6856659135307134,0.0008246794674860861,27.483504500114368,68566.59135307134,82.46794674860861,2748.350450011437,0.0,0.0,
37,2.3978397839783976,0.6783047093322946,0.0006884546623341369,22.98538995569085,67830.47093322946,68.84546623341369,2298.538995569085,0.0,0.0,
38,2.4626462646264624,0.6710217539444014,0.0005762308222643345,19.23077022012564,67102.17539444014,57.623082226433446,1923.077022012564,0.0,0.0,
39,2.5274527452745272,0.6638163522275363,0.00048354730418493795,16.1012766313006,66381.63522275363,48.354730418493794,1610.12766313006,0.0,0.0,
40,2.592259225922592,0.6566877912447168,0.0004068110842641631,13.49489261231953,65668.77912447168,40.68110842641631,1349.489261231953,0.0,0.0,
41,2.657065706570657,0.6496353445952233,0.00034312125848192624,11.32472352854208,64963.53445952233,34.31212584819262,1132.472352854208,0.0,0.0,
42,2.7218721872187217,0.6426582761362551,0.00029013025573366795,9.517411458004027,64265.827613625515,29.013025573366797,951.7411458004027,0.0,0.0,
43,2.7866786678667865,0.6357558431297412,0.00024593386424254384,8.011444614516014,63575.58431297412,24.593386424254383,801.1444614516014,0.0,0.0,
44,2.8514851485148514,0.6289272988711111,0.00020898390997639777,6.755502389454073,62892.72988711111,20.898390997639776,675.5502389454074,0.0,0.0,
45,2.916291629162916,0.6221718948637571,0.0001780187754646779,5.706924181204219,62217.18948637571,17.80187754646779,570.6924181204218,0.0,0.0,
46,2.981098109810981,0.6154888826033785,0.00015200799612384255,4.830339862723788,61548.88826033785,15.200799612384255,483.0339862723788,0.0,0.0,
47,3.045904590459046,0.6088775150322946,0.00013010798669930288,4.0964744400504935,60887.75150322946,13.010798669930288,409.64744400504935,0.0,0.0,
48,3.1107110711071106,0.602337047717722,0.00011162658525907149,3.4811226636630206,60233.7047717722,11.16265852590715,348.11226636630204,0.0,0.0,
49,3.1755175517551755,0.5958667398011418,9.599459699841666e-05,2.964280476939858,59586.67398011418,9.599459699841667,296.4280476939858,0.0,0.0,
50,3.2403240324032403,0.5894658547590491,8.274290637916436e-05,2.5294161397343324,58946.58547590491,8.274290637916437,252.94161397343325,0.0,0.0,
51,3.305130513051305,0.5831336610090349,7.148402813313584e-05,2.1628627667875455,58313.366100903484,7.148402813313584,216.28627667875455,0.0,0.0,
52,3.36993699369937,0.5768694323894823,6.189720419048629e-05,1.8533146154405349,57686.94323894823,6.189720419048629,185.3314615440535,0.0,0.0,
53,3.4347434743474348,0.5706724485362628,5.371633917721683e-05,1.591410934696372,57067.244853626275,5.371633917721683,159.1410934696372,0.0,0.0,
54,3.4995499549954996,0.5645419951756412,4.67202130056896e-05,1.3693930444305564,56454.19951756412,4.67202130056896,136.93930444305565,0.0,0.0,
55,3.5643564356435644,0.5584773643491052,4.07245239697375e-05,1.1808222502887074,55847.73643491052,4.07245239697375,118.08222502887074,0.0,0.0,
56,3.629162916291629,0.5524778545829351,3.5575406410995566e-05,1.0203480498614383,55247.78545829351,3.5575406410995565,102.03480498614384,0.0,0.0,
57,3.6939693969396936,0.5465427710129397,3.114413869667181e-05,0.8835177656488582,54654.27710129397,3.114413869667181,88.35177656488582,0.0,0.0,
58,3.7587758775877584,0.5406714254728356,2.7322814027245544e-05,0.7666202171816673,54067.14254728356,2.7322814027245546,76.66202171816673,0.0,0.0,
59,3.8235823582358233,0.5348631365531435,2.4020791660209342e-05,0.6665573147676744,53486.313655314356,2.4020791660209344,66.65573147676744,0.0,0.0,
